Id,Title,Main Channel ID,Main Channel Title,HardTag1,HardTag2,HardTag3,US PScore,Dead,
UCvQECJukTDE2i6aCoMnS-Vg,Big Think,,,ManoelControl,,,,FALSE,
UCAuUUnT6oDeKwE6v1NGQxug,TED,,,,,,,FALSE,
UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,,,,,,,FALSE,
UCBjBZmguQzn6WCYR7DQykLw,TED Fellows,,,,,,,FALSE,
UCl9roQQwv4o4OuBj3FhQdDQ,The Damage Report,UC1yBKRuGpC1tSM73A0ZjYjQ,The Young Turks,,,,,FALSE,
UCPhKAfBMRI-GDozE1ldix3A,Ana Kasparian,UC1yBKRuGpC1tSM73A0ZjYjQ,The Young Turks,,,,,FALSE,
UCvb-DqrtgHRX-hPypnjfkdw,The Point with Ana Kasparian,UC1yBKRuGpC1tSM73A0ZjYjQ,The Young Turks,,,,,FALSE,
UCKw8kdkYfmuNSVehGoDw8Mg,TYT Interviews,UC1yBKRuGpC1tSM73A0ZjYjQ,The Young Turks,,,,,FALSE,
UCIAXaU6LIcZyoHYWqVLM4wg,TYT Nation,UC1yBKRuGpC1tSM73A0ZjYjQ,The Young Turks,,,,,FALSE,
UC17knbFWwBQOSaLCiTO_5jw,Acronym TV,UC1yBKRuGpC1tSM73A0ZjYjQ,The Young Turks,,,,,FALSE,
UCfDdlNLRVb1h3_7Xh-WhL3w,TheDC Shorts,,,,,,,FALSE,
UCElqfal0wzzpLsHlRuqZjaA,Alexandria Ocasio-Cortez,,,Politician,,,,FALSE,
UCy6Q3wg-PgsgO2XtQxZpZEg,ADAM FRIENDED,,,,,,,FALSE,
UCyGEPFftZEOU1v6RtU73ylA,PSA Sitch,,,,,,,FALSE,
UC8RJExf7iNpV6tp6hvNtwww,Vee,,,AIN,ManoelAltLite,,,FALSE,
UCi5N_uAqApEUIlg32QzkPlg,Bret Weinstein,,,,,,,FALSE,
UCR85PW_B_7_Aisx5vNS7Gjw,Eric Weinstein,,,,,,,FALSE,
UCm13xHVNFVwzHzK3QHSaZ3Q,Benjamin A Boyce,,,ManoelIDW,,,,FALSE,
UCfwE_ODI1YTbdjkzuSi1Nag,TheQuartering,,,,,,,FALSE,
UCFQ6Gptuq-sLflbJ4YY3Umw,Rebel Wisdom,,,ManoelIDW,,,,FALSE,
UCkNJfjuNyIopt8UyC5ofhwg,Planned Parenthood,,,,,,,FALSE,
UCaDVcGDMkvcRb4qGARkWlyg,SoulPancake,,,,,,,FALSE,
UCNHVVFmsJL8vk0VHnBU_GBw,Libertatem,,,,,,,FALSE,
UCVF8SAGEQnBA-yKM4iQNqfw,Riley J. Dennis,,,,,,,FALSE,
UCa1DgvQUuQnJmMCwlxZ7SSg,We the Internet TV,,,,,,,FALSE,
UCB0XYqBHnsSg-CR-qHF7pGg,Family Policy Institute of Washington,,,,,,,FALSE,
UCWsiCjgGjMxOL_lVFo8wMHg,Tomorrow's World Viewpoint,,,,,,,FALSE,
UC059kFc5oApruDS2QFmZfeA,Autumn Asphodel,,,,,,,FALSE,
UCswH8ovgUp5Bdg-0_JTYFNw,Russell Brand,,,,,,,FALSE,
UCjH72OaQxPoKgtv56C-4NOA,Tariq Radio,,,,,,,FALSE,
UCCUQbQivBq233fSOm39kg1w,TBA,,,,,,,FALSE,
UChDKyKQ59fYz3JO2fl0Z6sg,TODAY,,,TV,Mainstream News,,,FALSE,
UCLrVxw4H4ZJ3LovpdbzF7bw,The Fallen State,,,ManoelAltLite,,,,FALSE,
UC51_awyLXl2nxCduuzzmw4w,LibertyPen,,,,,,,FALSE,
UCzWwWbbKHg4aodl0S35R6XA,HooverInstitution,,,,,,,FALSE,
UCZm2IEBVHdtaAhSyYhWu9mg,InstituteForJustice,,,,,,,FALSE,
UCyl7zwI6giPG6zC3uC8GGVg,The Cato Institute,,,,,,,FALSE,
UCFJNcE0iHj7P6dhp5iCZRLg,Learn Liberty,,,ManoelControl,,,,FALSE,
UCKtFwcQCsl1ttW2CgOqFMUQ,Mercatus Center,,,,,,,FALSE,
UC5bEfSFTYQVfLCwkhBt8NtQ,The Heritage Foundation,,,ManoelIDW,,,,FALSE,
UCHqkXbgqrDrDVInBMSoGQgQ,The Daily Signal,,,,,,,FALSE,
UCt8lRYpzb-sSrKFb4DT2ECw,American Enterprise Institute,,,ManoelControl,,,,FALSE,
UCNiNWbmPWehjpQohglWsKxw,The Red Elephants Vincent James,,,AIN,,,,FALSE,
UCDuIxfEt_VoI1yfARYmfCGA,Vincent James of The Red Elephants,,,AIN,ManoelAltLite,,,FALSE,
UCxWqlhmDlq4nQ0Jv5hD2wlw,SHUTTERSHOT45,,,,,,,FALSE,
UCNxZtF2pZWV7Squ4AQtGpkA,Very Fake News,,,,,,,FALSE,
UC3X8lQvudZJ6fMsL7WwqEDw,Airliner World & More,,,,,,,FALSE,
UCAJqGdQ-KO8jEcsEx4PA-Lg,The Common Sense Conservative,,,,,,,FALSE,
UCtcX0OObQQRC9XiU26P-V9A,American Patriot,,,,,,,FALSE,
UCtBfQmeHxSMsU2ghPAhGoRQ,Gotcha News Network,,,,,,,FALSE,
UCenxjWEkb0Sv67vejOgZ3Tg,IntelligenceSquared Debates,,,,,,,FALSE,
UCCHIKONeGp9nlB9XNhsLbRQ,The Conservative Station,,,,,,,FALSE,
UCy-N04M3rGQMznjIv5g2LGQ,The Patriotic Report,,,,,,,FALSE,
UClHpw6AX6AAKHQCaWtGVqSg,TheWishmaster,,,,,,,FALSE,
UC0hVVwpx_zoLEuKI8bOgFdg,NumbersUSA,,,,,,,FALSE,
UCJjSDX-jUChzOEyok9XYRJQ,Jubilee,,,,,,868.01239,FALSE,
UCvQ2kejN6UkrEVhE5oiYwBw,GOP War Room,,,Politician,,,,FALSE,
UCMRxoFJPZiBcxgFzxN0ao-w,Slightly Offens*ve,,,ManoelAltLite,,,,FALSE,
UCabaQPYxxKepWUsEVQMT4Kw,Healthcare Triage,,,,,,,FALSE,
UCm5J1Fu_dHgBcMTpXu-NXUw,Pangburn Philosophy,,,ManoelIDW,,,,FALSE,
UCJ6o36XL0CpYb6U5dNBiXHQ,Shaun,,,,,,,FALSE,
UClt01z1wHHT7c5lKcU8pxRQ,hbomberguy,,,,,,,FALSE,
UC8Cl9QaRtuW9CNjP7pP4BBQ,Jason Goodman,,,,,,,FALSE,
UCrQ-wHKVi0JDWjQGcuoYnew,George Webb,,,,,,,FALSE,
UCv0dEcvXLOf4ZFvjCahK4Lw,American Intelligence Media,,,,,,,FALSE,
UCVxYHHMK9DcnMup3t2A15qg,Right Wing News!,,,,,,,FALSE,
UCIjuLiLHdFxYtFmWlbTGQRQ,Peter Schiff,,,,,,,FALSE,
UCsgWR55UyAiFarZYl1u1l9Q,TomWoodsTV,,,,,,,FALSE,
UCkJ1N-7g9Q6n7KnriGit-Ig,RonPaulLibertyReport,,,Politician,ManoelControl,,,FALSE,
UCsnG5Ld5iYFIyAaW5oifzgQ,Blackstone Intelligence Network,,,,,,,FALSE,
UCpimAnNpH_JQxDa0YMTwdnw,HighImpactVlogs,,,,,,,FALSE,
UCuNfok7ozooi0LZgp6JJS4A,RichieFromBoston,,,,,,,FALSE,
UCcDC6kQcOgMw1fNTwgiBn_Q,RFB II,,,,,,,FALSE,
UCTYu3LHeW4GliTc5iBAkX-w,pocketsofthefuture,,,,,,,FALSE,
UCVEaFSr-jdTa_QE4PPSkVJw,Truthstream Media,,,,,,,FALSE,
UCDUBDASXQ-rVXsjqblQwG7A,DTRHRadioArchives,,,,,,,FALSE,
UC3dZNn_1-kP76SmIqy4rHSw,ChangeDaChannel,,,,,,,FALSE,
UCRVno4GDsO4Fs2lLAHGKfkQ,Montagraph,,,,,,,FALSE,
UCtZ2JhJGOIgoRg6OGQqwb8w,MaKaElectric,,,,,,,FALSE,
UC7TvL4GlQyMBLlUsTrN_C4Q,corbettreport,,,,,,,FALSE,
